,username,whisky_name,rating
0,Vheissu15,Redemption Straight Rye,7.0
1,metallica83,Redemption Straight Rye,7.0
2,rpdram,Redemption Straight Rye,8.0
3,BillsNBrews1818,Redemption Straight Rye,6.0
4,Chris-Scheer,Redemption Straight Rye,8.0
5,dunks,Redemption Straight Rye,7.0
6,Evan-Robichaud,Redemption Straight Rye,6.0
7,iladnev,Redemption Straight Rye,7.0
8,dmorris,Redemption Straight Rye,4.0
9,Robertmck7399,Redemption Straight Rye,5.0
10,brian_G_,Redemption Straight Rye,8.0
11,jqs704,Redemption Straight Rye,5.0
12,iggy2007,Redemption Straight Rye,8.0
13,Wayne-Pansa-Jr-,Redemption Straight Rye,8.0
14,Anthony-Townsend,Redemption Straight Rye,6.0
15,Jon-Pryor,Redemption Straight Rye,6.0
16,Jon-Pryor,Redemption Straight Rye,6.0
17,Zeta755,Redemption Straight Rye,6.0
18,roostersfg,Redemption Straight Rye,7.0
19,Dave-Spangenburg,Redemption Straight Rye,7.0
20,jd333,Redemption Straight Rye,7.0
21,bjwyman,Redemption Straight Rye,6.0
22,Moscone65,Redemption Straight Rye,8.0
23,blocka,Redemption Straight Rye,5.0
24,swaka,Redemption Straight Rye,7.0
25,Mastro1006,Redemption Straight Rye,8.0
26,Mastro14,Redemption Straight Rye,8.0
27,RyanWRasmussen,Redemption Straight Rye,6.0
28,Ryan-Belcher2,Redemption Straight Rye,7.0
29,ronlp,Redemption Straight Rye,5.0
30,Kev124,Redemption Straight Rye,7.0
31,ArthurH,Redemption Straight Rye,8.0
32,Vrazoc,Redemption Straight Rye,6.0
33,AliN,Redemption Straight Rye,7.0
34,starsfan619,Redemption Straight Rye,7.0
35,reluctantWineLover,Redemption Straight Rye,5.0
36,vrussell,Redemption Straight Rye,8.0
37,CraftsMatt,Redemption Straight Rye,8.0
38,SandyAndy,Redemption Straight Rye,6.0
39,Chumdog88,Redemption Straight Rye,7.0
40,Gennaro-Del-Bagno,Redemption Straight Rye,2.0
41,Mayorofweaverville,Redemption Straight Rye,8.0
42,bisonesque,Redemption Straight Rye,6.0
43,Gennaro-Del-Bagno,Redemption Straight Rye,6.0
44,bigtongie,Redemption Straight Rye,6.0
45,MaxG,Redemption Straight Rye,8.0
46,MaxG,Redemption Straight Rye,9.0
47,bhyer,Redemption Straight Rye,9.0
48,ProvostDrunk,Redemption Straight Rye,7.0
49,Andrew-Stone,Redemption Straight Rye,7.0
50,oraag,Redemption Straight Rye,7.0
51,eb903,Redemption Straight Rye,9.0
52,rednekdave81,Redemption Straight Rye,7.0
53,bkeegan,Redemption Straight Rye,6.0
54,vvkumardo,Redemption Straight Rye,9.0
55,Brendan-McGrath,Redemption Straight Rye,6.0
56,Airegin,Redemption Straight Rye,8.0
57,jbalcorn,Redemption Straight Rye,6.0
58,waffleboy,Redemption Straight Rye,7.0
59,kyleasmith02,Redemption Straight Rye,7.0
60,ERB1485,Redemption Straight Rye,6.0
61,Matt-Martin3,Redemption Straight Rye,7.0
62,herrmann,Redemption Straight Rye,4.0
63,EricMontgomery,Redemption Straight Rye,8.0
64,grantspurdy,Redemption Straight Rye,6.0
65,Eric-Arnold,Redemption Straight Rye,8.0
66,Zach-Worman,Redemption Straight Rye,9.0
67,Danielle-Jones,Redemption Straight Rye,5.0
68,Darin-Giebel1,Redemption Straight Rye,7.0
69,jamesgaff22,Redemption Straight Rye,6.0
70,Dustin-Romero,Redemption Straight Rye,7.0
71,JohnMichael,Redemption Straight Rye,6.0
72,grygrx,Redemption Straight Rye,5.0
73,Bryan206,Redemption Straight Rye,6.0
74,Todd-Louks,Redemption Straight Rye,7.0
75,bkeegan,Redemption Straight Rye,6.0
76,Gerred-Zygai,Redemption Straight Rye,8.0
77,Rich-Jans,Redemption Straight Rye,10.0
78,dchris_07,Redemption Straight Rye,8.0
79,jdgreen,Redemption Straight Rye,4.0
80,demetriusponder,Redemption Straight Rye,7.0
81,ProvostDrunk,Redemption Straight Rye,7.0
82,DrCL,Redemption Straight Rye,7.0
83,Phil-Wages,Redemption Straight Rye,8.0
84,David-Pennell,Redemption Straight Rye,6.0
85,harrylee773,Redemption Straight Rye,7.0
86,Tsunami,Redemption Straight Rye,6.0
87,wbrosnan1,Redemption Straight Rye,7.0
88,whiskey1982,Redemption Straight Rye,8.0
89,PitterPaddy,Redemption Straight Rye,6.0
90,Brad-Silverback,Redemption Straight Rye,7.0
91,wpark788,Redemption Straight Rye,7.0
92,Topshelf,Redemption Straight Rye,6.0
93,alalchin,Redemption Straight Rye,7.0
94,jasondechant,Redemption Straight Rye,7.0
95,Robert-Zatlin,Redemption Straight Rye,5.0
96,Looneyhead,Redemption Straight Rye,7.0
97,Hiltbrandtb,Redemption Straight Rye,8.0
98,Jim970,Redemption Straight Rye,6.0
99,haaseg,Redemption Straight Rye,7.0
100,crgrinn1,Redemption Straight Rye,5.0
101,dsr0222,Redemption Straight Rye,5.0
102,jpaulm1971,Redemption Straight Rye,5.0
103,Danil-Sibiryakov,Redemption Straight Rye,6.0
104,Robert-Zatlin,Redemption Straight Rye,6.0
105,theMrFarnham,Redemption Straight Rye,7.0
106,skibeast,Redemption Straight Rye,7.0
107,Bill-Shannon,Redemption Straight Rye,7.0
108,theMrFarnham,Redemption Straight Rye,8.0
109,Peter-Lund,Redemption Straight Rye,6.0
110,Djbandy20,Redemption Straight Rye,7.0
111,alchemist81,Redemption Straight Rye,8.0
112,bourbon347,Redemption Straight Rye,6.0
113,titanium32,Redemption Straight Rye,7.0
114,njbourbondrinker,Redemption Straight Rye,6.0
115,appstategrad26,Redemption Straight Rye,8.0
116,smacdunk,Redemption Straight Rye,10.0
117,beastow316,Redemption Straight Rye,6.0
118,Jared-Gradoville,Redemption Straight Rye,6.0
119,ajammon,Redemption Straight Rye,4.0
120,Tim27,Redemption Straight Rye,3.0
121,jsc004,Redemption Straight Rye,7.0
122,Andrew-Young1,Redemption Straight Rye,8.0
123,JAEHYEON-BAK,Redemption Straight Rye,7.0
124,Jeffo,Redemption Straight Rye,8.0
125,allenwc,Redemption Straight Rye,
126,mkstrass,Redemption Straight Rye,8.0
127,UBC,Redemption Straight Rye,5.0
128,sauceboss10,Redemption Straight Rye,6.0
129,mph62293,Redemption Straight Rye,6.0
130,mph62293,Redemption Straight Rye,6.0
131,psywar04,Redemption Straight Rye,5.0
132,Gundato,Redemption Straight Rye,6.0
133,Elixir71,Redemption Straight Rye,5.0
134,Mike-Boscarino,Redemption Straight Rye,9.0
135,altorp2,Redemption Straight Rye,6.0
136,Elixir71,Redemption Straight Rye,6.0
137,TheWhiskeyJug,Redemption Straight Rye,5.0
138,andrewsiemek,Redemption Straight Rye,8.0
139,daniev82,Redemption Straight Rye,6.0
140,Caterina-Avino,Redemption Straight Rye,9.0
141,pwm28,Redemption Straight Rye,7.0
142,Caterina-Avino,Redemption Straight Rye,9.0
143,TonyBrown,Redemption Straight Rye,7.0
144,dalecowell,Redemption Straight Rye,6.0
145,mpconnor20,Redemption Straight Rye,6.0
146,ras,Redemption Straight Rye,6.0
147,tate-Montgomery,Redemption Straight Rye,5.0
148,FRRnet,Redemption Straight Rye,7.0
149,JDeschain,Redemption Straight Rye,6.0
150,Shawn-Insertrandomphrase-,Redemption Straight Rye,
151,Shawn-Insertrandomphrase-,Redemption Straight Rye,
152,drews,Redemption Straight Rye,7.0
153,tniemann,Redemption Straight Rye,10.0
154,tskitt,Redemption Straight Rye,9.0
155,WillMcG,Redemption Straight Rye,7.0
156,RedFive,Redemption Straight Rye,
157,alexmarsh42,Redemption Straight Rye,7.0
158,dhdmotorcycles,Redemption Straight Rye,5.0
159,Seth-Goldbarg,Redemption Straight Rye,6.0
160,SWFanMan,Redemption Straight Rye,8.0
161,InTheSpirits,Redemption Straight Rye,6.0
162,AMDouglas,Redemption Straight Rye,5.0
163,Mike-Iapicca,Redemption Straight Rye,7.0
164,lordofthemark,Redemption Straight Rye,6.0
165,madenupe,Redemption Straight Rye,9.0
166,Shea-Lusero,Redemption Straight Rye,5.0
167,csummers,Redemption Straight Rye,8.0
168,Jared-Meyer,Redemption Straight Rye,7.0
169,slugfresh,Redemption Straight Rye,7.0
170,Tallman42,Redemption Straight Rye,8.0
171,Aged-One,Redemption Straight Rye,6.0
172,sdesanto,Redemption Straight Rye,4.0
173,barrettclark,Redemption Straight Rye,5.0
174,NASABrewr,Redemption Straight Rye,8.0
175,Jad6686,Redemption Straight Rye,6.0
176,timbukdrew,Redemption Straight Rye,5.0
177,basschaos500,Redemption Straight Rye,7.0
178,beerjeff,Redemption Straight Rye,
179,Ctb554,Redemption Straight Rye,7.0
180,stoobs,Redemption Straight Rye,4.0
181,Tyler-Ryan1,Redemption Straight Rye,9.0
182,harrylee773,Redemption Straight Rye,5.0
183,rleopa01,Redemption Straight Rye,6.0
184,kevcarbon,Redemption Straight Rye,6.0
185,Hodar,Redemption Straight Rye,8.0
186,Andrew-Wojciechowski,Redemption Straight Rye,8.0
187,KrisCarlson,Redemption Straight Rye,8.0
188,Elixir71,Redemption Straight Rye,6.0
189,pajohnson1988,Redemption Straight Rye,5.0
190,Stu-Rodda,Redemption Straight Rye,7.0
191,Smellypoopoohead,Redemption Straight Rye,7.0
192,Robinsonj82,Redemption Straight Rye,6.0
193,Lynwood-Stevenson,Redemption Straight Rye,6.0
194,bourbon_please,Redemption Straight Rye,9.0
195,JohnMichael,Redemption Straight Rye,6.0
196,Cedric-Allen,Redemption Straight Rye,6.0
197,Jared-Miller1,Redemption Straight Rye,5.0
198,drinaldo32,Redemption Straight Rye,6.0
199,Manny-Andaya,Redemption Straight Rye,
200,Scott-Rosey,Redemption Straight Rye,7.0
201,mddamiano,Redemption Straight Rye,5.0
202,gbinge,Redemption Straight Rye,8.0
203,Texas,Redemption Straight Rye,8.0
204,TheWhiskeyNinja,Redemption Straight Rye,6.0
205,Michael-Hale1,Redemption Straight Rye,6.0
206,Chris-Ludwig,Redemption Straight Rye,5.0
207,jdrouse30,Redemption Straight Rye,8.0
208,emuhleetee,Redemption Straight Rye,5.0
209,gbennie21,Redemption Straight Rye,7.0
210,Mikeybarr44,Redemption Straight Rye,
211,bourbon_please,Redemption Straight Rye,8.0
212,ber11oc,Redemption Straight Rye,7.0
213,ECKoch,Redemption Straight Rye,6.0
214,Daniel-Ellcey,Redemption Straight Rye,7.0
215,needhaml,Redemption Straight Rye,9.0
216,dpdeluca,Redemption Straight Rye,6.0
217,egf20,Redemption Straight Rye,7.0
218,mshawn007,Redemption Straight Rye,8.0
219,Tinman025,Redemption Straight Rye,8.0
220,School10mom,Redemption Straight Rye,10.0
221,emac2500,Redemption Straight Rye,7.0
222,btbuckeye,Redemption Straight Rye,7.0
223,leebm14,Redemption Straight Rye,9.0
224,mikeythewhiskeysnob,Redemption Straight Rye,7.0
225,WhiskeySmoke,Redemption Straight Rye,5.0
226,smorrell,Redemption Straight Rye,9.0
227,Mike-Noworyta,Redemption Straight Rye,8.0
228,lenioja,Redemption Straight Rye,5.0
229,jcstylz,Redemption Straight Rye,6.0
230,Dram-it,Redemption Straight Rye,8.0
231,BigLEE,Redemption Straight Rye,8.0
232,jbourbon,Redemption Straight Rye,4.0
233,nsalsedo,Redemption Straight Rye,6.0
234,roaryt,Redemption Straight Rye,5.0
235,Christopher-Williams,Redemption Straight Rye,8.0
236,marc1976,Redemption Straight Rye,6.0
237,bruwery,Redemption Straight Rye,6.0
238,bruwery,Redemption Straight Rye,7.0
239,Jesse-Curlee,Redemption Straight Rye,9.0
240,Livelifeopen,Redemption Straight Rye,6.0
241,bmeyers89,Redemption Straight Rye,6.0
242,marc1976,Redemption Straight Rye,8.0
243,kirkgnomics,Redemption Straight Rye,6.0
244,jrothey,Redemption Straight Rye,8.0
245,arohrbach9583,Redemption Straight Rye,8.0
246,TheCrazyCPA,Redemption Straight Rye,7.0
247,Alicia-Lavin,Redemption Straight Rye,7.0
248,juliethegreat,Redemption Straight Rye,8.0
249,tommyd227,Redemption Straight Rye,6.0
250,WhyteShadow,Redemption Straight Rye,8.0
251,MountainRoot,Redemption Straight Rye,6.0
252,WhiskeyFunatic,Redemption Straight Rye,8.0
253,bemost,Redemption Straight Rye,6.0
254,modlyzko,Redemption Straight Rye,8.0
255,TexasMonkey47,Redemption Straight Rye,7.0
256,whiskeyed,Redemption Straight Rye,9.0
257,anorably,Redemption Straight Rye,8.0
258,dmoyer,Redemption Straight Rye,5.0
259,jodie,Redemption Straight Rye,10.0
260,Violentj502,Redemption Straight Rye,5.0
261,goalie30,Redemption Straight Rye,9.0
262,goalie30,Redemption Straight Rye,8.0
263,goalie30,Redemption Straight Rye,7.0
264,Choard,Redemption Straight Rye,4.0
265,Fafnir187,Redemption Straight Rye,7.0
266,cjporche,Redemption Straight Rye,5.0
267,nmoon,Redemption Straight Rye,6.0
268,cmtekautz,Redemption Straight Rye,8.0
269,kevindgeorge,Redemption Straight Rye,7.0
270,tdaruck,Redemption Straight Rye,6.0
271,Joe-Marzella,Redemption Straight Rye,7.0
272,Schylow,Redemption Straight Rye,7.0
273,bosox89,Redemption Straight Rye,5.0
274,GeorgeFergus,Redemption Straight Rye,4.0
275,Michael-Phillips,Redemption Straight Rye,7.0
276,gleemonger,Redemption Straight Rye,8.0
277,Jongmin,Redemption Straight Rye,7.0
278,cull59,Redemption Straight Rye,5.0
279,Choard,Redemption Straight Rye,6.0
280,shivams406,Redemption Straight Rye,8.0
281,lanebell,Redemption Straight Rye,7.0
282,DR3W88,Redemption Straight Rye,5.0
283,bourbonclub,Redemption Straight Rye,7.0
284,deegee,Redemption Straight Rye,
285,Cavyn,Redemption Straight Rye,5.0
286,Mrarick2,Redemption Straight Rye,8.0
287,Azraellius,Redemption Straight Rye,6.0
288,jacobdeems,Redemption Straight Rye,6.0
289,Guitar_mann,Redemption Straight Rye,5.0
290,Evan-Barone,Redemption Straight Rye,5.0
291,biga9999,Redemption Straight Rye,7.0
292,cpundock,Redemption Straight Rye,6.0
293,cpundock,Redemption Straight Rye,5.0
294,classicamerican,Redemption Straight Rye,6.0
295,Ryan-Brown2,Redemption Straight Rye,6.0
296,drlewis,Redemption Straight Rye,6.0
297,acewhole1985,Redemption Straight Rye,7.0
298,bmurray990,Redemption Straight Rye,7.0
299,jocmw,Redemption Straight Rye,8.0
300,launlind,Redemption Straight Rye,8.0
301,adesor,Redemption Straight Rye,4.0
302,twist36,Redemption Straight Rye,6.0
303,ebirrane,Redemption Straight Rye,8.0
304,viggetto,Redemption Straight Rye,6.0
305,jtd2081,Redemption Straight Rye,7.0
306,Tex,Redemption Straight Rye,7.0
307,Tex,Redemption Straight Rye,
308,VABackyardBourbon,Redemption Straight Rye,6.0
309,spinner,Redemption Straight Rye,8.0
310,downingben,Redemption Straight Rye,6.0
311,EmberFox,Redemption Straight Rye,8.0
312,Adam-Danger-Blackerby,Redemption Straight Rye,
313,Adam-Danger-Blackerby,Redemption Straight Rye,8.0
314,KellenQ,Redemption Straight Rye,8.0
315,mattbrochill,Redemption Straight Rye,7.0
316,Dayhunt85,Redemption Straight Rye,6.0
317,steara64,Redemption Straight Rye,6.0
