,username,whisky_name,rating
0,blakecarv,Ardmore Legacy,9.0
1,Connor-Dempsey,Ardmore Legacy,6.0
2,menintrunks,Ardmore Legacy,8.0
3,kaiv19,Ardmore Legacy,6.0
4,Paddy-Fitzpatrick,Ardmore Legacy,9.0
5,Mbambuto,Ardmore Legacy,4.0
6,Daniel-Westbury,Ardmore Legacy,5.0
7,Mike_or_Michael,Ardmore Legacy,4.0
8,kcaron,Ardmore Legacy,7.0
9,Blackwater79,Ardmore Legacy,9.0
10,jok,Ardmore Legacy,7.0
11,Tomasz7022,Ardmore Legacy,8.0
12,Poellijnie,Ardmore Legacy,7.0
13,adamthrift,Ardmore Legacy,6.0
14,Cgreen1121,Ardmore Legacy,8.0
15,pletfred,Ardmore Legacy,6.0
16,hartwigcurtis,Ardmore Legacy,9.0
17,MPick3,Ardmore Legacy,6.0
18,dhdally,Ardmore Legacy,
19,Matej-Lu-in,Ardmore Legacy,7.0
20,wissam_mekary,Ardmore Legacy,
21,Dan-Stephens,Ardmore Legacy,7.0
22,WKregting,Ardmore Legacy,7.0
23,jcloud,Ardmore Legacy,3.0
24,Dean-M-Tzobanakis,Ardmore Legacy,7.0
25,aaustin238,Ardmore Legacy,7.0
26,Gigiomix,Ardmore Legacy,7.0
27,Val-rie-Sykora,Ardmore Legacy,7.0
28,Raley-Sims,Ardmore Legacy,8.0
29,ajwhite7,Ardmore Legacy,8.0
30,Liam-Weekes,Ardmore Legacy,8.0
31,bucket_head,Ardmore Legacy,6.0
32,chrisc8888,Ardmore Legacy,5.0
33,Helverson,Ardmore Legacy,6.0
34,bcow,Ardmore Legacy,6.0
35,Davespellomega,Ardmore Legacy,5.0
36,Anthony-Gosling,Ardmore Legacy,7.0
37,leftila,Ardmore Legacy,7.0
38,DvN,Ardmore Legacy,7.0
39,beyoda,Ardmore Legacy,7.0
40,DonatoVT,Ardmore Legacy,7.0
41,armstrongsn,Ardmore Legacy,6.0
42,Vaclav_Spiegel,Ardmore Legacy,4.0
43,THEMIKEMCDERMS,Ardmore Legacy,3.0
44,WerewolfTattoo,Ardmore Legacy,8.0
45,kevinpitts,Ardmore Legacy,6.0
46,Justin-Brooks1,Ardmore Legacy,8.0
47,ogyn,Ardmore Legacy,7.0
48,Lord_Animal,Ardmore Legacy,7.0
49,Jomar-T-mmerdal,Ardmore Legacy,6.0
50,reefbreak,Ardmore Legacy,7.0
51,Michele-Doni,Ardmore Legacy,7.0
52,boudreaux31,Ardmore Legacy,4.0
53,PanosGato,Ardmore Legacy,8.0
54,Chase-Hughes,Ardmore Legacy,6.0
55,Chase-Hughes,Ardmore Legacy,6.0
56,whiskal,Ardmore Legacy,7.0
57,zappalodian,Ardmore Legacy,6.0
58,IamAlpharius,Ardmore Legacy,8.0
59,tud02952,Ardmore Legacy,7.0
60,secordman,Ardmore Legacy,7.0
61,Vlad-Banasko,Ardmore Legacy,7.0
62,jblo,Ardmore Legacy,5.0
63,jblo,Ardmore Legacy,5.0
64,Andres-Aguilar1,Ardmore Legacy,
65,ogyn,Ardmore Legacy,8.0
66,makrandgupta,Ardmore Legacy,8.0
67,Amy-Robinson,Ardmore Legacy,6.0
68,DemonsDude,Ardmore Legacy,7.0
69,tleblanc,Ardmore Legacy,10.0
70,Thetumblerpour,Ardmore Legacy,6.0
71,John-Candy,Ardmore Legacy,8.0
72,Yano115,Ardmore Legacy,7.0
73,malta_lover,Ardmore Legacy,7.0
74,drillbilly,Ardmore Legacy,7.0
75,Kuukske,Ardmore Legacy,7.0
76,deadlyunderdog,Ardmore Legacy,8.0
77,phantomffm,Ardmore Legacy,8.0
78,Baloo,Ardmore Legacy,7.0
79,sb_talsiker,Ardmore Legacy,6.0
80,jclay60,Ardmore Legacy,8.0
81,Patricklist2021,Ardmore Legacy,7.0
82,Ben-Fudge,Ardmore Legacy,8.0
83,Ben-Fudge,Ardmore Legacy,8.0
84,Ben-Fudge,Ardmore Legacy,7.0
85,Dara-Phelan,Ardmore Legacy,5.0
86,Antti-Repo,Ardmore Legacy,9.0
