,username,whisky_name,rating
0,Elw00t,Fearless Wheat Whiskey,6.0
1,davidjosephson,Fearless Wheat Whiskey,7.0
2,MountainRoot,Fearless Wheat Whiskey,7.0
3,nicholasbalk,Fearless Wheat Whiskey,7.0
4,Adam-Sosnik,Fearless Wheat Whiskey,10.0
5,joshtk,Fearless Wheat Whiskey,4.0
6,jbyrdrtr,Port Askaig 8 Year,7.0
7,konpeito,Port Askaig 8 Year,9.0
8,gbember,Port Askaig 8 Year,6.0
9,rainy79,Port Askaig 8 Year,8.0
10,blakecarv,Port Askaig 8 Year,7.0
11,mcgrath005,Port Askaig 8 Year,7.0
12,Billsp,Port Askaig 8 Year,7.0
13,mjhorn,Port Askaig 8 Year,7.0
14,ChunkyChangs,Port Askaig 8 Year,8.0
15,marcusalves,Port Askaig 8 Year,8.0
16,ygghuurr,Port Askaig 8 Year,7.0
17,Erik_Palmieri,Port Askaig 8 Year,8.0
18,dac975,Port Askaig 8 Year,3.0
19,Ido-Meir,Port Askaig 8 Year,8.0
20,PolarAce,Port Askaig 8 Year,7.0
21,findjja,Port Askaig 8 Year,7.0
22,pwincza,Port Askaig 8 Year,8.0
23,Thibault-Brezhillien,Port Askaig 8 Year,8.0
24,simonemarazzi,Port Askaig 8 Year,7.0
25,pradoe,Port Askaig 8 Year,7.0
26,Carlisle,Port Askaig 8 Year,7.0
27,lolpirate,Port Askaig 8 Year,7.0
28,SucklingMyMothersPeat,Port Askaig 8 Year,8.0
29,Helverson,Port Askaig 8 Year,9.0
30,MF-GVA,Port Askaig 8 Year,10.0
31,Edward-Dionissiev,Port Askaig 8 Year,8.0
32,oob,Port Askaig 8 Year,6.0
33,Greg-So,Port Askaig 8 Year,8.0
34,isiluysun,Port Askaig 8 Year,7.0
35,oliegator,Port Askaig 8 Year,7.0
36,Yellowhammer,Port Askaig 8 Year,7.0
37,Adam-Stevenson1,Port Askaig 8 Year,7.0
38,zaclin,Port Askaig 8 Year,4.0
39,chrisc8888,Port Askaig 8 Year,7.0
40,willt,Port Askaig 8 Year,7.0
41,casparwhittey,Port Askaig 8 Year,6.0
42,schatridge,Port Askaig 8 Year,7.0
43,leftila,Port Askaig 8 Year,8.0
44,corynelson,Port Askaig 8 Year,7.0
45,jozwidan,Port Askaig 8 Year,6.0
46,Phil-McGurk,Port Askaig 8 Year,7.0
47,meyers1023,Port Askaig 8 Year,8.0
48,brenpmon,Port Askaig 8 Year,8.0
49,Guy-Cestmoi,Port Askaig 8 Year,9.0
50,archero,Port Askaig 8 Year,6.0
51,Maiic,Port Askaig 8 Year,8.0
52,chyaya36,Port Askaig 8 Year,8.0
53,Yun-Hsin-Liu,Port Askaig 8 Year,6.0
54,Rene-Kotz,Port Askaig 8 Year,6.0
55,Stuart-Ledden,Port Askaig 8 Year,9.0
56,WhiskMyWhisky,Port Askaig 8 Year,4.0
57,KINGdj95,Port Askaig 8 Year,5.0
58,thenextjedi,Port Askaig 8 Year,6.0
59,Kteach,Port Askaig 8 Year,7.0
60,hairyugly,Port Askaig 8 Year,8.0
61,peterochvargen,Port Askaig 8 Year,6.0
62,Jonathan-Rutledge,Port Askaig 8 Year,6.0
63,Ken_Pfaff,Port Askaig 8 Year,6.0
64,Zhao-Heng,Port Askaig 8 Year,8.0
65,zstirling6,Port Askaig 8 Year,9.0
