,username,whisky_name,rating
0,zaprime,Yellow Rose Blended Whiskey,8.0
1,kdvanderpool,Yellow Rose Blended Whiskey,8.0
2,chostetter,Yellow Rose Blended Whiskey,6.0
3,Whiskeystache,Yellow Rose Blended Whiskey,6.0
4,eli-mckenna-weiss,Yellow Rose Blended Whiskey,7.0
5,tipsykitty309,Yellow Rose Blended Whiskey,10.0
6,Lynchpin67,Yellow Rose Blended Whiskey,7.0
7,JDeschain,Yellow Rose Blended Whiskey,6.0
8,DougWilliams,Yellow Rose Blended Whiskey,6.0
9,kirbyhayes09,Yellow Rose Blended Whiskey,7.0
10,ejhontherocks,Yellow Rose Blended Whiskey,7.0
11,eli-mckenna-weiss,Yellow Rose Blended Whiskey,7.0
12,jakeleland,Yellow Rose Blended Whiskey,
13,Jacob-Burgess,Yellow Rose Blended Whiskey,8.0
14,samdi22,Yellow Rose Blended Whiskey,6.0
15,dprice2011,Yellow Rose Blended Whiskey,4.0
16,prof_h,Yellow Rose Blended Whiskey,4.0
17,Balegdeh,Yellow Rose Blended Whiskey,6.0
18,awmarksjr,Yellow Rose Blended Whiskey,6.0
19,WL,Yellow Rose Blended Whiskey,5.0
20,Spenser-Six,Yellow Rose Blended Whiskey,8.0
21,Irvinshire,Yellow Rose Blended Whiskey,
22,Irvinshire,Yellow Rose Blended Whiskey,6.0
23,zeeky,Yellow Rose Blended Whiskey,10.0
24,Zachary-Glaub,Yellow Rose Blended Whiskey,10.0
25,tsparino,Yellow Rose Blended Whiskey,8.0
26,Rebellion1794,Yellow Rose Blended Whiskey,6.0
27,brent_hotard,Yellow Rose Blended Whiskey,8.0
28,erickubera,Yellow Rose Blended Whiskey,4.0
29,BurkeAnderson,Yellow Rose Blended Whiskey,8.0
30,idkid,Yellow Rose Blended Whiskey,8.0
31,tsparino,Yellow Rose Blended Whiskey,10.0
32,Alec-Pankow,Yellow Rose Blended Whiskey,10.0
33,YakinGilZ,Yellow Rose Blended Whiskey,10.0
34,ccurran,Yellow Rose Blended Whiskey,8.0
35,RickhouseSniffer,Yellow Rose Blended Whiskey,6.0
36,Whiskey_Dingle,Yellow Rose Blended Whiskey,6.0
37,Ryan-Allen,Yellow Rose Blended Whiskey,8.0
38,bshpakoff,Yellow Rose Blended Whiskey,6.0
39,wcolby2,Yellow Rose Blended Whiskey,
40,Austinds7,Yellow Rose Blended Whiskey,6.0
41,Justin-Sawyer,Yellow Rose Blended Whiskey,2.0
42,KJYano,Yellow Rose Blended Whiskey,10.0
43,jbarnett11,Yellow Rose Blended Whiskey,2.0
44,BuckeyeBourbon,Yellow Rose Blended Whiskey,8.0
45,jdub0625,Yellow Rose Blended Whiskey,8.0
46,Sergio-R-Garcia,Yellow Rose Blended Whiskey,4.0
47,BigLEE,Yellow Rose Blended Whiskey,8.0
48,Vykk-Draygo,Yellow Rose Blended Whiskey,6.0
49,christophsgray,Yellow Rose Blended Whiskey,8.0
50,Frank-T-Giordano,Yellow Rose Blended Whiskey,4.0
51,Weston-Buchanan,Yellow Rose Blended Whiskey,10.0
52,taylorbthompson,Yellow Rose Blended Whiskey,10.0
53,jefferymanzer,Yellow Rose Blended Whiskey,6.0
54,SlicePhread,Yellow Rose Blended Whiskey,8.0
55,russ1,Yellow Rose Blended Whiskey,4.0
56,elyklone,Yellow Rose Blended Whiskey,8.0
57,Crrobins,Yellow Rose Blended Whiskey,6.0
58,buzcg,Yellow Rose Blended Whiskey,6.0
59,Josh-Manlove,Yellow Rose Blended Whiskey,8.0
60,Dlparker83,Yellow Rose Blended Whiskey,6.0
61,Treymond,Yellow Rose Blended Whiskey,8.0
62,climbingbrit,Yellow Rose Blended Whiskey,6.0
63,Kyle-Evans,Yellow Rose Blended Whiskey,6.0
64,b33roo,Yellow Rose Blended Whiskey,6.0
65,BrbnHntr86,Yellow Rose Blended Whiskey,8.0
66,Dante013,Yellow Rose Blended Whiskey,6.0
67,Clint-Crabill,Yellow Rose Blended Whiskey,4.0
68,wissam_mekary,Johnnie Walker Swing,
69,gabrielff,Johnnie Walker Swing,8.0
70,GustavoRuy13,Johnnie Walker Swing,5.0
71,GustavoRuy13,Johnnie Walker Swing,5.0
72,scubillo,Johnnie Walker Swing,5.0
73,dnob13,Johnnie Walker Swing,8.0
74,SandyAndy,Johnnie Walker Swing,6.0
75,Carlos_Diego,Johnnie Walker Swing,7.0
76,MikeInFrankfurt,Johnnie Walker Swing,7.0
77,Shayne-Moore,Johnnie Walker Swing,6.0
78,Fabio-Vega-Braga,Johnnie Walker Swing,6.0
79,jdeckert,Johnnie Walker Swing,2.0
80,Alfonso-Castillo-Herrera,Johnnie Walker Swing,7.0
81,Kono,Johnnie Walker Swing,7.0
82,felipesf,Johnnie Walker Swing,5.0
83,tengtionary,Johnnie Walker Swing,6.0
84,Sunkyung-Lee,Johnnie Walker Swing,7.0
85,gareth_mr,Johnnie Walker Swing,6.0
86,kschosinsky,Johnnie Walker Swing,6.0
87,Lidrow,Johnnie Walker Swing,5.0
88,antoniocamposfilho,Johnnie Walker Swing,7.0
89,Vae_Victis,Johnnie Walker Swing,7.0
90,Peatsmokejunkie,Johnnie Walker Swing,8.0
91,fr8shaker,Johnnie Walker Swing,7.0
92,Assaad-Abou-Rached,Johnnie Walker Swing,8.0
93,asg_ofc,Johnnie Walker Swing,6.0
94,RobOdegard,Johnnie Walker Swing,5.0
95,Ovigen,Johnnie Walker Swing,8.0
96,bernardoalmeida,Johnnie Walker Swing,6.0
97,Paul-De-La-Torre,Johnnie Walker Swing,8.0
98,mikeys,Johnnie Walker Swing,8.0
99,phrenetici,Johnnie Walker Swing,7.0
100,dlangman,Johnnie Walker Swing,8.0
101,maaloulz,Johnnie Walker Swing,6.0
