,username,whisky_name,rating
0,Brendan-Gleason,Cascade Moon Edition No. 1,9.0
1,ahennen10,Cascade Moon Edition No. 1,6.0
2,SCB93,Cascade Moon Edition No. 1,6.0
3,TheWhiskeyJug,Cascade Moon Edition No. 1,6.0
4,drock777,Cascade Moon Edition No. 1,7.0
5,bsbiker131,Cascade Moon Edition No. 1,6.0
6,Phil-Young1,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),9.0
7,TheUcho,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),10.0
8,Whiskey_MD,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
9,rare_perfectionist,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
10,jonathandrinks2,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
11,thedougfrancis,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),9.0
12,doctorcal,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),9.0
13,Logan-Quiring,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),9.0
14,kevinlyons,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),5.0
15,beersteve666,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),5.0
16,Samuel-Nowland,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),9.0
17,Luke-Gilpin,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),8.0
18,Cudster,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
19,smf5125,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),8.0
20,Craig-Raleigh,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),8.0
21,motherofdragons,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),8.0
22,dgrigg,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
23,Coachp20,Michter's 10 Year Single Barrel Kentucky Straight Bourbon (2020 Release),7.0
