,whisky_id,link,image,name,avr_rating,category,location,total_rating,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
3461,3462,/spirits/salado-texas-whiskey,"https://ip-distiller.imgix.net/images/spirits/6559dba0-3357-0134-355b-2a95f2b71ae4/salado_texas_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Salado Texas Whiskey,4.0,Other Whiskey,"(bottled in Texas), USA",3.0,2,40.0,oak and mesquite wood,20,0,30,5,30,10,10,10,0,15,10,10,5
3462,3463,/spirits/fliquor-bean-whiskey-infused-with-coffee,"https://ip-distiller.imgix.net/images/spirits/f8288490-ed16-0133-d9bf-32b8b72bda52/fliquor_bean_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Fliquor Bean Whiskey Infused with Coffee,9.0,Flavored Whiskey,"California, USA",2.0,2,40.5,,10,0,0,0,0,40,60,10,0,20,30,0,0
3463,3464,/spirits/palmetto-whiskey,"https://ip-distiller.imgix.net/images/spirits/9ef3e7c0-dcdd-0133-9970-568a662b4ad6/palmetto_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Palmetto Whiskey,6.18,Other Whiskey,"South Carolina, USA",40.0,2,44.65,new French Oak,25,0,50,45,30,35,30,65,0,70,0,50,40
3464,3465,/spirits/short-mountain-shiner-s-select-tennessee-moonshine,"https://ip-distiller.imgix.net/images/spirits/7b9c57a0-b58b-0133-6b7e-467d58fe60bf/short_mountain_shiners_select_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Short Mountain Shiner's Select Tennessee Moonshine,8.0,Spirit,"Tennessee, USA",2.0,2,50.0,,0,0,5,20,0,30,30,50,0,30,0,15,25
3465,3466,/spirits/missouri-spirits-bourbon-whiskey,"https://ip-distiller.imgix.net/images/spirits/4bc978e0-64ec-0133-4305-4286c7b0de56/missouri_spirits_bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Missouri Spirits Bourbon Whiskey,6.62,Bourbon,"Missouri, USA",8.0,2,40.0,"new, charred American oak",0,0,20,10,10,20,20,30,0,40,0,20,0
3466,3467,/spirits/graveyard-sam-s-baby-bourbon,"https://ip-distiller.imgix.net/images/spirits/26307340-4f87-0133-fd3f-1283b3d1b39c/graveyard_sam_baby_bourbon_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Graveyard Sam's Baby Bourbon,5.0,Bourbon,"Pennsylvania, USA",5.0,2,45.0,"new, charred American oak",0,0,30,40,30,40,40,50,10,50,30,50,60
3467,3468,/spirits/calumet-farm-bourbon,"https://ip-distiller.imgix.net/images/spirits/7a702ba0-2420-0133-58df-4ec4116683d0/calumetfarmn_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Calumet Farm Bourbon (Discontinued),6.15,Bourbon,USA,389.0,2,43.0,"new, charred American oak",60,0,60,30,0,40,50,60,5,60,60,50,10
3468,3469,/spirits/wigle-four-grain-whiskey,"https://ip-distiller.imgix.net/images/spirits/0d8cc1f0-239b-0133-0ccf-42c164171d98/wigle_four_grain_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Wigle Four Grain Whiskey,6.5,Other Whiskey,"Pennsylvania, USA",10.0,2,46.0,new charred oak,20,0,60,50,30,10,20,30,0,30,20,20,30
3469,3470,/spirits/bootlegger-21-new-york-bourbon,"https://ip-distiller.imgix.net/images/spirits/f80888e0-f4d2-0132-3fd9-2e4440a50860/bootlegger-21-new-york-bourbon-whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bootlegger 21 New York Bourbon,6.64,Bourbon,"New York, USA",14.0,2,46.0,"new, charred American oak",40,0,60,20,10,70,50,70,0,30,10,20,0
3470,3471,/spirits/j-k-williams-bourbon-barrel-whiskey,"https://ip-distiller.imgix.net/images/spirits/b6b49f80-7e5f-0132-1af2-26f673a334bb/j_k_bourbon_barrel_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",J.K. Williams Bourbon Barrel Whiskey,5.33,Other Whiskey,"Illinois, USA",3.0,2,40.0,ex-bourbon,10,0,20,80,20,40,50,60,10,50,40,60,50
3471,3472,/spirits/tirado-gold-corn-whiskey,"https://ip-distiller.imgix.net/images/spirits/8f663770-6476-0132-5497-5e21b5254aaf/tirado-gold-corn-whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Tirado Gold Corn Whiskey,4.67,Corn,"New York, USA",3.0,2,40.0,,0,0,10,0,20,85,85,90,0,80,5,50,0
3472,3473,/spirits/wasmund-s-single-malt,"https://ip-distiller.imgix.net/images/spirits/ee07fb20-386e-0132-e17f-427e770362ec/wasmunds-single-malt_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Wasmund's Single Malt,5.44,American Single Malt,"Virginia , USA",54.0,2,48.0,,10,0,15,10,20,50,60,75,0,15,0,60,50
3473,3474,/spirits/jura-brooklyn,"https://ip-distiller.imgix.net/images/spirits/17fdceb0-0baf-0132-8300-0e506e486396/jura_brooklyn_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Jura Brooklyn,6.38,Peated Single Malt,Scotland,37.0,3,42.0,"American White Oak Bourbon, Amoroso Sherry, Pinot Noir ",30,30,10,15,10,65,65,70,10,20,0,25,0
3474,3475,/spirits/old-charter-101,"https://ip-distiller.imgix.net/images/spirits/31bf3730-fa5c-0131-813c-6a0fee78723f/charter-101_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Charter 101,6.2,Bourbon,"Kentucky, USA",10.0,1,50.5,new charred oak,0,0,30,15,0,50,60,80,0,25,0,20,0
3475,3476,/spirits/breuckelen-77-new-york-wheat-whiskey,"https://ip-distiller.imgix.net/images/spirits/9613d190-d2ad-0131-c583-4afe063c6c5b/Breuckelen_77_new_york_wheat_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Breuckelen 77 New York Wheat Whiskey,6.59,Wheat Whiskey,"New York, USA",37.0,2,45.0,"new, charred American oak",20,0,50,70,30,20,20,40,0,40,20,20,0
3476,3477,/spirits/lower-east-side-blended-malt,"https://ip-distiller.imgix.net/images/spirits/0daa7070-3930-0138-1d86-0a65fc8b42fe/lower_east_side_blended_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Lower East Side Blended Malt,0.0,Blended Malt,Scotland,1.0,2,40.0,,10,5,10,15,5,20,15,15,0,20,10,15,5
3477,3478,/spirits/jameson-cold-brew,"https://ip-distiller.imgix.net/images/spirits/7748bb50-9841-0136-2c75-3ea8f4e99110/jameson_cold_brew_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Jameson Cold Brew,6.18,Flavored Whiskey,Ireland,290.0,1,30.0,,0,0,10,0,0,30,30,40,0,70,40,30,10
3478,3479,/spirits/boot-hill-distillery-red-eye-whiskey,"https://ip-distiller.imgix.net/images/spirits/aa052b80-4e41-0136-83bf-123bf00e2878/boot_hill_red_eye_rye_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Boot Hill Distillery Red Eye Whiskey,4.6,Other Whiskey,"Kansas, USA",10.0,2,40.0,Assorted American oak,0,0,45,30,0,10,0,65,0,25,0,35,5
3479,3480,/spirits/arctic-ice-moonshine-whiskey,"https://ip-distiller.imgix.net/images/spirits/a3bdca30-13d1-0134-be1e-1e5c499419c5/arctic_ice_moonshine_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Arctic Ice Moonshine Whiskey,,White,"Alaska, USA",,2,80.0,unaged,0,0,30,40,70,65,45,80,15,25,0,50,25
3480,3481,/spirits/still-cellars-whiskey-barley,"https://ip-distiller.imgix.net/images/spirits/2706a290-f3ca-0133-38bc-3e86137b0f0e/still_cellars_whiskey_barley_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Still Cellars Whiskey Barley,10.0,American Single Malt,"Colorado, USA",1.0,2,44.0,,0,0,5,30,0,10,10,5,0,5,0,10,20
