,whisky_id,category,price_tier,abv,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
2703,2703,13,2,0.4,0.3,0.4,0.8,0.5,0.1,0.4,0.4,0.5,0.0,0.5,0.4,0.2,0.10526315789473684
2704,2704,14,5,0.30000000000000004,0.2,0.0,0.45,0.25,0.15,0.4,0.4,0.6,0.0,0.25,0.35000000000000003,0.45,0.0
2705,2705,13,3,0.30000000000000004,0.1,0.0,0.55,0.35000000000000003,0.45,0.6,0.55,0.55,0.05555555555555556,0.5,0.2,0.2,0.15789473684210525
2706,2706,13,4,0.63,0.2,0.0,0.7000000000000001,0.4,0.1,0.7000000000000001,0.4,0.4,0.0,0.7000000000000001,0.2,0.2,0.0
2707,2707,13,2,0.3400000000000001,0.1,0.0,0.7000000000000001,0.6,0.0,0.5,0.5,0.3,0.0,0.4,0.6,0.1,0.0
2708,2708,15,3,0.32000000000000006,0.0,0.0,0.35000000000000003,0.1,0.25,0.35000000000000003,0.25,0.25,0.0,0.35000000000000003,0.15,0.3,0.3157894736842105
2709,2709,15,2,0.20000000000000007,0.0,0.0,0.25,0.2,0.35000000000000003,0.3,0.25,0.3,0.0,0.35000000000000003,0.25,0.2,0.10526315789473684
2710,2710,5,3,0.41000000000000003,0.3,0.0,0.8,0.6,0.2,0.7000000000000001,0.6,0.4,0.0,0.5,0.4,0.6,0.5263157894736842
2711,2711,13,5,0.32000000000000006,0.0,0.0,0.6,0.8,0.3,0.3,0.3,0.7000000000000001,0.22222222222222224,0.8,0.65,0.5,0.6842105263157895
2712,2712,0,4,0.57,0.1,0.0,0.4,0.9,0.3,0.5,0.5,0.3,0.22222222222222224,0.5,0.2,0.2,0.10526315789473684
2713,2713,5,2,0.3400000000000001,0.0,0.0,0.8,0.2,0.7000000000000001,0.6,0.65,0.8,0.0,0.75,0.65,0.7000000000000001,0.42105263157894735
2714,2714,5,2,0.3500000000000001,0.0,0.0,0.7000000000000001,0.8,0.9,0.8,0.75,0.75,0.33333333333333337,0.7000000000000001,0.65,0.2,0.42105263157894735
2715,2715,15,3,0.268,0.1,0.0,0.45,0.25,0.2,0.4,0.25,0.25,0.0,0.25,0.2,0.25,0.10526315789473684
