,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
928,5.0,10.0,0.0,55.0,55.0,40.0,60.0,80.0,80.0,30.0,60.0,65.0,80.0,40.0
929,4.0,10.0,0.0,60.0,35.0,30.0,50.0,45.0,45.0,0.0,40.0,30.0,45.0,35.0
930,4.0,10.0,0.0,30.0,15.0,40.0,70.0,75.0,70.0,0.0,50.0,5.0,60.0,10.0
931,5.0,30.0,25.0,30.0,10.0,35.0,50.0,65.0,20.0,25.0,15.0,10.0,30.0,15.0
932,5.0,80.0,40.0,15.0,10.0,30.0,50.0,60.0,85.0,30.0,15.0,25.0,75.0,20.0
933,5.0,10.0,0.0,30.0,25.0,35.0,60.0,60.0,50.0,0.0,40.0,10.0,30.0,20.0
934,2.0,35.0,0.0,55.0,20.0,20.0,45.0,50.0,52.0,0.0,45.0,30.0,55.0,35.0
935,3.0,25.0,0.0,55.0,10.0,0.0,40.0,65.0,60.0,0.0,55.0,10.0,40.0,5.0
936,5.0,20.0,0.0,60.0,20.0,50.0,70.0,70.0,60.0,20.0,80.0,30.0,60.0,30.0
937,5.0,40.0,20.0,10.0,15.0,30.0,60.0,50.0,79.0,20.0,20.0,14.0,85.0,30.0
938,4.0,15.0,0.0,15.0,10.0,10.0,30.0,35.0,25.0,0.0,30.0,0.0,50.0,25.0
939,4.0,30.0,0.0,40.0,35.0,5.0,40.0,40.0,70.0,0.0,40.0,30.0,45.0,0.0
940,4.0,35.0,0.0,55.0,30.0,20.0,53.0,53.0,60.0,0.0,35.0,25.0,24.0,0.0
941,5.0,10.0,0.0,70.0,40.0,20.0,70.0,50.0,50.0,10.0,70.0,30.0,70.0,40.0
942,3.0,20.0,5.0,50.0,30.0,40.0,40.0,35.0,20.0,20.0,25.0,15.0,15.0,20.0
943,1.0,40.0,0.0,60.0,20.0,35.0,40.0,45.0,50.0,0.0,45.0,25.0,40.0,20.0
944,5.0,75.0,30.0,75.0,50.0,40.0,60.0,60.0,55.0,60.0,55.0,45.0,70.0,20.0
945,4.0,20.0,0.0,70.0,60.0,10.0,60.0,70.0,60.0,20.0,80.0,30.0,70.0,50.0
946,5.0,80.0,50.0,30.0,20.0,40.0,80.0,70.0,50.0,60.0,50.0,40.0,30.0,0.0
947,3.0,30.0,0.0,60.0,10.0,20.0,70.0,80.0,70.0,0.0,70.0,30.0,40.0,0.0
948,4.0,0.0,0.0,20.0,40.0,60.0,60.0,80.0,70.0,0.0,30.0,20.0,80.0,70.0
949,4.0,90.0,85.0,65.0,20.0,75.0,80.0,70.0,80.0,15.0,45.0,0.0,100.0,50.0
950,5.0,15.0,20.0,50.0,30.0,45.0,60.0,65.0,80.0,10.0,70.0,13.0,85.0,25.0
951,4.0,40.0,0.0,70.0,25.0,30.0,50.0,45.0,55.0,0.0,55.0,15.0,15.0,10.0
952,2.0,15.0,0.0,30.0,30.0,25.0,30.0,45.0,50.0,0.0,35.0,10.0,20.0,10.0
953,3.0,75.0,70.0,60.0,75.0,30.0,65.0,70.0,65.0,60.0,50.0,50.0,60.0,65.0
954,5.0,10.0,0.0,50.0,40.0,30.0,70.0,50.0,40.0,60.0,40.0,30.0,60.0,30.0
955,3.0,10.0,10.0,60.0,35.0,45.0,55.0,55.0,80.0,10.0,40.0,30.0,85.0,20.0
956,3.0,20.0,0.0,70.0,0.0,40.0,60.0,80.0,60.0,0.0,80.0,0.0,0.0,0.0
957,2.0,45.0,0.0,50.0,10.0,10.0,50.0,60.0,50.0,0.0,40.0,20.0,60.0,25.0
958,4.0,30.0,0.0,30.0,10.0,10.0,75.0,70.0,80.0,0.0,20.0,0.0,50.0,5.0
959,2.0,25.0,0.0,65.0,15.0,45.0,80.0,85.0,80.0,30.0,50.0,0.0,75.0,20.0
960,4.0,10.0,0.0,30.0,20.0,50.0,60.0,60.0,85.0,0.0,80.0,80.0,90.0,50.0
961,5.0,30.0,60.0,20.0,10.0,20.0,60.0,60.0,40.0,20.0,30.0,20.0,30.0,30.0
962,3.0,0.0,0.0,60.0,20.0,30.0,50.0,60.0,50.0,0.0,40.0,10.0,30.0,20.0
963,4.0,15.0,20.0,40.0,20.0,10.0,80.0,80.0,60.0,5.0,25.0,30.0,50.0,15.0
964,4.0,10.0,0.0,40.0,30.0,60.0,50.0,60.0,50.0,10.0,40.0,20.0,70.0,40.0
965,3.0,15.0,0.0,35.0,5.0,0.0,40.0,25.0,30.0,0.0,35.0,0.0,15.0,5.0
