,link,image,name,avr_rating,category,location
0,/spirits/knob-creek-single-barrel-liquor-barn-2020-12,"https://ip-distiller.imgix.net/images/spirits/564dbe60-91e1-013b-db29-320ab2ccda70/c25d825ba8e8e62f3949b87d028265ff_original-1676742062.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png","Knob Creek Single Barrel ""Liquor Barn 2020 #12""",3.5,Bourbon,USA
1,/spirits/knob-creek-single-barrel-solo-shot,"https://ip-distiller.imgix.net/images/spirits/cae17890-91e0-013b-f427-2a5e73515ac5/02b18b4877a2597cf791046b8d34f68d_original-1676741828.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png","Knob Creek Single Barrel ""Solo Shot""",4.5,Bourbon,USA
2,/spirits/knob-creek-single-barrel-kroger-wine-spirits-6-22,"https://ip-distiller.imgix.net/images/spirits/6acb4820-91e0-013b-f426-2a5e73515ac5/d090a2795ba201d50f582f0252a1aaa5_original-1676741667.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png","Knob Creek Single Barrel ""Kroger Wine & Spirits"" 6/22",3.5,Bourbon,USA
3,/spirits/knob-creek-single-barrel-twm-noe-better-barrels-2,"https://ip-distiller.imgix.net/images/spirits/685f6cb0-91df-013b-db28-320ab2ccda70/057062d5f018a6652bf1f88050fa82d4_original-1676741234.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png","Knob Creek Single Barrel ""TWM Noe Better Barrels #2""",4.0,Bourbon,USA
4,/spirits/11-wells-bourbon-whiskey,"https://ip-distiller.imgix.net/images/spirits/3d3fed80-91da-013b-db26-320ab2ccda70/9cafc40f76841d0213c8c3268fce7bc5_original-1676739014.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",11 Wells Bourbon Whiskey,,Bourbon,USA
5,/spirits/woodford-reserve-kentucky-derby-149,"https://ip-distiller.imgix.net/images/spirits/e3f637e0-91d2-013b-db24-320ab2ccda70/5204ace978d6c8a70a34542837fa21ee_original-1676735857.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Woodford Reserve Kentucky Derby 149,,Bourbon,USA
6,/spirits/bearface-elementally-aged,"https://ip-distiller.imgix.net/images/spirits/39d6d7f0-91ba-013b-e7a1-1e94c76adad4/2791153dd953f09d1a4f4dc13822fe4c_original-1676725264.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Bearface Elementally Aged,3.0,Canadian,Canada
7,/spirits/bimber-apogee-xii-pure-malt-whisky,"https://ip-distiller.imgix.net/images/spirits/b0754510-919f-013b-453a-2e7520816891/6c47422926faa6b0c861a43232119ccc_original-1676713867.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Bimber Apogee XII Pure Malt Whisky,3.75,Blended Malt,England
8,/spirits/limited-edition-japanese-cask-finish,"https://ip-distiller.imgix.net/images/spirits/2d65eda0-9185-013b-db1c-320ab2ccda70/71af7006a73529b86b86b1051ad47e9f_original-1676702480.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Limited Edition - Japanese Cask Finish,4.0,Single Malt,Ireland
9,/spirits/twice-blessed,"https://ip-distiller.imgix.net/images/spirits/a444fd50-9155-013b-e796-1e94c76adad4/a120dd70c6363b4295ea5ec73012a0b2_original-1676682064.jpeg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Twice Blessed,3.5,Bourbon,USA
