,link,image,name,avr_rating,category,location
0,/spirits/hibiki-21-year,"https://ip-distiller.imgix.net/images/spirits/42372d30-4dbf-0132-ff20-4a02559918a4/hibiki-21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hibiki 21 Year,4.52,Blended,Japan
1,/spirits/highland-park-18,"https://ip-distiller.imgix.net/images/spirits/0755d5c9-c3c7-41e2-9dbe-401070ab6f19/highland_park_18_new_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Highland Park 18 Year,4.47,Peated Single Malt,"Islands, Scotland"
2,/spirits/michter-s-20-year-kentucky-straight-bourbon-2021-release,"https://ip-distiller.imgix.net/images/spirits/c03d5430-18a8-013a-6798-4637613bb8aa/michters_20_year_2018_original_original_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Michter's 20 Year Kentucky Straight Bourbon (2021 Release),4.61,Bourbon,"Kentucky, USA"
3,/spirits/george-t-stagg-bourbon-fall-2019,"https://ip-distiller.imgix.net/images/spirits/96133fd0-b701-0137-c627-0a8f7e82b852/btac_gts_2019_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George T. Stagg Bourbon (Fall 2019),4.61,Bourbon,"Kentucky, USA"
4,/spirits/bowmore-mizunara-cask-finish,"https://ip-distiller.imgix.net/images/spirits/a2fd4c90-7bf1-0133-e87d-6a913c28256d/bowmore_single_malt_mizunara_cask_finish_whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bowmore Mizunara Cask Finish,4.08,Peated Single Malt,"Islay, Scotland"
5,/spirits/the-macallan-m,"https://ip-distiller.imgix.net/images/spirits/a2f91f60-7b29-0133-fe8a-4e080c81bb47/the_macallan_m_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan M,4.3,Single Malt,"Highlands, Scotland"
6,/spirits/port-ellen-32-year-1979-2012-special-release,"https://ip-distiller.imgix.net/images/spirits/d1bfe6c0-5a76-0133-8b8a-121ac42cec7e/port_ellen_1979_32_year_2012_limited_release_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Port Ellen 32 Year 1979 (2012 Special Release),4.87,Peated Single Malt,"Islay, Scotland"
7,/spirits/thomas-h-handy-sazerac-rye-fall-2015,"https://ip-distiller.imgix.net/images/spirits/acb8dac0-43a6-0133-4f6b-6e49329533a6/thomas_h_handy_sazerac_straight_rye_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Thomas H. Handy Sazerac Rye (Fall 2015),4.65,Rye,"Kentucky, USA"
8,/spirits/william-larue-weller-bourbon-fall-2015,"https://ip-distiller.imgix.net/images/spirits/a2256390-43a3-0133-4f6a-6e49329533a6/william_larue_weller_bourbon_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",William Larue Weller Bourbon (Fall 2015),4.69,Bourbon,"Kentucky, USA"
9,/spirits/the-balvenie-tun-1509-batch-1,"https://ip-distiller.imgix.net/images/spirits/b2c514d0-a8a0-0132-a462-0298fdb44177/balvenie-tun-1509-batch-1_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Balvenie Tun 1509 Batch 1,4.63,Single Malt,"Speyside, Scotland"
10,/spirits/booker-s-bourbon-batch-2015-01,"https://ip-distiller.imgix.net/images/spirits/4a705280-9c42-0132-7bd2-46ee4a41af5a/bookes-2015-1-big-man-small-batch_large_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=","Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",4.37,Bourbon,"Kentucky, USA"
11,/spirits/four-roses-single-barrel-2013,"https://ip-distiller.imgix.net/images/spirits/60978800-8588-0132-f124-5ae0af5970b7/four-roses-single-barrel-2013_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Four Roses Limited Edition Single Barrel Bourbon (2013),4.23,Bourbon,"Kentucky, USA"
12,/spirits/macallan-rare-cask,"https://ip-distiller.imgix.net/images/spirits/35822060-518a-0132-5bd3-4ecce4ba707e/the-macallan-rare-cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan Rare Cask,4.54,Single Malt,"Highlands, Scotland"
13,/spirits/four-roses-bourbon-single-barrel-2014,"https://ip-distiller.imgix.net/images/spirits/3a91ea80-4761-0132-a6e3-0266af8722d3/four_roses_single_barrel_2014_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Four Roses Limited Edition Single Barrel Bourbon (2014),4.25,Bourbon,"Kentucky, USA"
14,/spirits/the-macallan-fine-oak-21,"https://ip-distiller.imgix.net/images/spirits/0b368ef0-27b3-0132-7a24-5ee4a9b8b9e5/macallan_fine_oak_21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan Fine Oak 21 Year,4.52,Single Malt,"Highlands, Scotland"
15,/spirits/thomas-h-handy-sazerac-rye-fall-2014,"https://ip-distiller.imgix.net/images/spirits/fee5c4b0-1a96-0132-975b-1a5d32c7a74d/thomas-h-handy-sazerac-straight-rye-2014_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Thomas H. Handy Sazerac Rye (Fall 2014),4.58,Rye,"Kentucky, USA"
16,/spirits/parker-s-heritage-promise-of-hope,"https://ip-distiller.imgix.net/images/spirits/438dcde0-e070-0131-ef2b-1ab03dbca12e/parkers_heritage_promise_of_hope_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Parker's Heritage Promise of Hope,4.44,Bourbon,"Kentucky, USA"
17,/spirits/george-dickel-x-leopold-bros-collaboration-blend,"https://ip-distiller.imgix.net/images/spirits/97cfcc80-1ff4-013a-bd98-02466c9c4d07/dickelleopold_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George Dickel x Leopold Bros Collaboration Blend (2021 Release),4.27,Rye,USA
18,/spirits/booker-s-bourbon-batch-2021-01-donohoe-s-batch,"https://ip-distiller.imgix.net/images/spirits/fd4d6ff0-61b2-0139-7c5e-429115e927b0/bookersdonahoe_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=","Booker's Bourbon Batch 2021-01 ""Donohoe's Batch""",4.29,Bourbon,"Kentucky, USA"
19,/spirits/bushmills-28-year-the-rare-casks-cognac-cask,"https://ip-distiller.imgix.net/images/spirits/bb03c4b0-a9c1-0138-ad8a-1217ac28eb12/bushmills_28_rare_cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bushmills 28 Year The Rare Casks Cognac Cask Single Malt,3.75,Single Malt,Northern Ireland
20,/spirits/bunnahabhain-2008-moine-bordeaux-red-wine-cask-matured,"https://ip-distiller.imgix.net/images/spirits/bdc1b000-a8ad-0136-2a6d-7edc0c336646/bunnahabhain_2008_moine_bordeaux_red_wine_cask_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,4.34,Peated Single Malt,"Islay, Scotland"
21,/spirits/bowmore-26-year-wine-matured,"https://ip-distiller.imgix.net/images/spirits/2c9cc7d0-876b-0135-3473-3edf6dc1e499/bowmore_26_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bowmore Vintner's Trilogy 26 Year French Oak Barrique,4.52,Peated Single Malt,"Islay, Scotland"
22,/spirits/sazerac-rye-18-year-fall-2017,"https://ip-distiller.imgix.net/images/spirits/8b677260-6f1a-0135-4552-4a25c911964f/btac_2017_sazerac_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Sazerac Rye 18 Year (Fall 2017),4.35,Rye,"Kentucky, USA"
23,/spirits/ardbeg-17-year,"https://ip-distiller.imgix.net/images/spirits/364c3880-0387-0134-8caf-4e6c3953646c/ardbeg_17_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Ardbeg 17 Year,4.17,Peated Single Malt,"Islay, Scotland"
24,/spirits/teeling-platinum-reserve-30-year-single-malt,"https://ip-distiller.imgix.net/images/spirits/634ba820-ec96-0133-379c-5277fea9ac89/teeling_platinum_reserve_30_year_single_malt_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Teeling Platinum Reserve 30 Year Single Malt,4.67,Single Malt,Ireland
25,/spirits/hibiki-30-year,"https://ip-distiller.imgix.net/images/spirits/35977a60-bbe6-0133-a406-16a648e409b7/hibiki_30_year_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hibiki 30 Year,4.85,Blended,Japan
26,/spirits/laphroaig-32-year,"https://ip-distiller.imgix.net/images/spirits/0b707c00-58e3-0133-d7bc-6a5be1060817/laphroaig_32_year_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig 32 Year,4.75,Peated Single Malt,"Islay, Scotland"
27,/spirits/glenmorangie-1970-s-collection-77,"https://ip-distiller.imgix.net/images/spirits/a8645d80-4b48-0133-747f-5ac590f54aa6/glenmoranige_1970%2527s_collection_%252777_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Glenmorangie 1970's Collection '77,4.52,Single Malt,"Highlands, Scotland"
28,/spirits/laphroaig-cairdeas-feis-ile-2013-port-wood-edition,"https://ip-distiller.imgix.net/images/spirits/1fd8a827-344b-468a-a04c-6641296491e9/laphroaig_cairdeas_port_wood_edition_2013_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Laphroaig Cairdeas 2013 Port Wood Edition,4.34,Peated Single Malt,"Islay, Scotland"
29,/spirits/the-last-drop-48-year,"https://ip-distiller.imgix.net/images/spirits/6487bd70-0e6b-0133-e253-2e14679c7ac6/the-last-drop-48-year-whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",The Last Drop 48 Year Blended Scotch Whisky,4.58,Blended,Scotland
30,/spirits/balblair-1983-1st-release,"https://ip-distiller.imgix.net/images/spirits/44c55490-9ddf-0132-9179-7ad5dbf985ab/balblair-1983-1st-release_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Balblair 1983 1st Release,4.55,Single Malt,"Highlands , Scotland"
31,/spirits/hirsch-selection-28-year-bourbon,"https://ip-distiller.imgix.net/images/spirits/252e54e0-8bb1-0132-ad01-3e18f3efae4e/hirsch-selection-28-year-bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hirsch Selection 28 Year Bourbon,3.89,Bourbon,"Kentucky, USA"
32,/spirits/oban-21-year,"https://ip-distiller.imgix.net/images/spirits/48bfd220-8a37-0132-7e96-4a66c0808235/oban-21-year-cask-strength_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Oban 21 Year Cask Strength,4.29,Peated Single Malt,"Highlands, Scotland"
33,/spirits/wild-turkey-diamond-anniversary-bourbon,"https://ip-distiller.imgix.net/images/spirits/003bf770-6a0e-0132-c008-3e0d9b297f94/wild-turkey-diamond-anniversary_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Wild Turkey Diamond Anniversary Bourbon,4.32,Bourbon,"Kentucky, USA"
