,link,image,name,avr_rating,category,location
15,/spirits/signatory-vintage-ben-nevis-1991,"https://ip-distiller.imgix.net/images/spirits/709b7540-b57a-0138-92db-2e3170e3436f/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Signatory vintage ben Nevis 1991,4.0,Single Malt,Scotland
16,/spirits/glen-scotia-1991-23-year-signatory,"https://ip-distiller.imgix.net/images/spirits/17c1f6b0-b579-0138-737e-3ad5d30b0782/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Glen Scotia 1991 23 Year (Signatory),4.5,Single Malt,"Campbeltown, Scotland"
17,/spirits/signatory-vintage-linkwood-1995,"https://ip-distiller.imgix.net/images/spirits/3e1c51b0-b578-0138-9fe2-2e192f3aace1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Signatory vintage linkwood 1995,4.38,Single Malt,Scotland
18,/spirits/old-elk-straight-rye-whiskey,"https://ip-distiller.imgix.net/images/spirits/f393aa10-b56e-0138-9fe0-2e192f3aace1/oldelkstraightrye_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Old Elk Straight Rye Whiskey,3.81,Rye,"Colorado, USA"
19,/spirits/yamazaki-nobu-selection,"https://ip-distiller.imgix.net/images/spirits/a4f4d500-b51b-0138-9fd7-2e192f3aace1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Yamazaki Nobu Selection,5.0,Single Malt,Japan
20,/spirits/the-naked-grouse-blended-malt,"https://ip-distiller.imgix.net/images/spirits/b778a630-b505-0138-3fae-72b0dd6c3929/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",The naked grouse blended malt,3.63,Blended Malt,Panama
21,/spirits/bloody-butcher-s-creed-barrel-87,"https://ip-distiller.imgix.net/images/spirits/6e6c68b0-b4fd-0138-3fab-72b0dd6c3929/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Bloody Butcher's Creed Barrel 87,3.56,Bourbon,"Kentucky USA, USA"
22,/spirits/sagamore-spirit-brewer-s-select,"https://ip-distiller.imgix.net/images/spirits/eb5df0b0-b4fb-0138-92cc-2e3170e3436f/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Sagamore Spirit Rye Ale Finish Rye,4.15,Rye,USA
23,/spirits/samaroli-by-samaroli-2017-third-edition,"https://ip-distiller.imgix.net/images/spirits/6cc6adc0-b4fb-0138-92ca-2e3170e3436f/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Samaroli by Samaroli 2017 third edition,,Blended Malt,Italy
24,/spirits/kings-county-straight-bourbon-drammers-club-custom-blend,"https://ip-distiller.imgix.net/images/spirits/d2721270-b4f7-0138-7369-3ad5d30b0782/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Kings County Straight Bourbon (Drammers Club Custom Blend),3.75,Bourbon,"New York, USA"
