,link,image,name,avr_rating,category,location
0,/spirits/blackadder-statement-linkwood-1987-26-year-cask-1042,"https://ip-distiller.imgix.net/images/spirits/dcbd7840-ad1f-0139-80ad-0672ee867734/e2230b60d1d864a6ae86d5e8fc7066c9_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Blackadder Statement Linkwood 1987 26 Year Cask 1042,5.0,Single Malt,"Speyside, Scotland"
1,/spirits/blackadder-raw-cask-dailuane-1991-21-year-cask-7537,"https://ip-distiller.imgix.net/images/spirits/76ab8fd0-ad1f-0139-621f-36a6d2c9ab78/0d0cc8c8dafb76bc4e0bd62e9f9db426_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Blackadder Raw Cask Dailuane 1991 21 Year Cask 7537,5.0,Single Malt,"Speyside, Scotland"
2,/spirits/blackadder-raw-cask-amrut-bourbon-cask-ba24-2016,"https://ip-distiller.imgix.net/images/spirits/f27a9290-ad1e-0139-80ac-0672ee867734/68a9867052e5f3e4de6cea90a58ead36_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Blackadder Raw Cask Amrut Bourbon Cask BA24-2016,,Single Malt,India
3,/spirits/jack-and-victor-still-game-blended-whisky,"https://ip-distiller.imgix.net/images/spirits/93124390-ad08-0139-3f85-6a8bb6ea9318/0b8ef7329e711844124886d61d9254b5_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Jack and Victor Still Game Blended Whisky,2.63,Blended Malt,"Osprey Heights, Scotland"
4,/spirits/king-s-ryeconic,"https://ip-distiller.imgix.net/images/spirits/10bbbce0-acf8-0139-6215-36a6d2c9ab78/d2804c821db9c6b1786ac8b6dbee45dc_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",King's Family Distillery Ryeconic,2.88,Rye,"Tennessee, USA"
5,/spirits/auchentoshan-lowland-single-malt-scotch-whisky,"https://ip-distiller.imgix.net/images/spirits/5b445360-ac99-0139-6210-36a6d2c9ab78/3720e6dbac925b70c923db70895ab45d_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Auchentoshan Lowland Single Malt Scotch Whisky,3.75,Single Malt,"Lowland, Scotland, Scotland"
6,/spirits/blanton-s-the-original-single-barrel-bourbon-whiskey-barrel-375,"https://ip-distiller.imgix.net/images/spirits/91744b30-ac98-0139-3f7b-6a8bb6ea9318/8beb8aa788c7e94c49aafca37a4654f0_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Blanton's The Original Single Barrel Bourbon Whiskey Barrel #375,3.88,Bourbon,"Frankfort, Kentucky, USA"
7,/spirits/pine-bluffs-distilling-100-rye-malt-whiskey,"https://ip-distiller.imgix.net/images/spirits/d49beb40-ac97-0139-620f-36a6d2c9ab78/f333e5373f17a8f72547fe2099de79d6_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Pine Bluffs Distilling 100% Rye Malt Whiskey,3.5,Rye,"Pine Bluffs, Wyoming, USA"
8,/spirits/maine-craft-distilling-fifty-stone-single-malt-highland-style-whiskey,"https://ip-distiller.imgix.net/images/spirits/0bf225f0-ac97-0139-809a-0672ee867734/c237dd777120d35f883fbd733ad95cc8_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Maine Craft Distilling Fifty Stone Single Malt Highland Style Whiskey,4.0,Peated Single Malt,"Portland, Maine, USA"
9,/spirits/balcones-texas-single-malt-whisky-single-barrel-15982,"https://ip-distiller.imgix.net/images/spirits/89724950-ac96-0139-a193-3ea154cfead0/b9d552c53e573ba48190f136f7efdbe7_original.png?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Balcones Texas Single Malt Whisky Single Barrel #15982,4.17,Single Malt,"Waco, Texas, USA"
